Date/time,Progress,Temperature,Humidity,Magx,Magy,Magz,Pitch,Roll,Yaw,Latitude,Longitude
2020-04-21 00:44:37.807397,16,34.0636,31.7444,-1.9344024658203125,-14.710289001464844,39.48469543457031,357.1169342492119,162.22027127860443,117.08057558236567,"[16.0, 38.0, 34.6]","[143.0, 3.0, 12.8]"
2020-04-21 00:44:50.647627,17,33.6852,31.6685,-2.1872832775115967,-14.757579803466797,38.8211669921875,333.1129620397921,293.5459613383061,90.01162748644553,"[16.0, 0.0, 6.7]","[142.0, 32.0, 30.9]"
2020-04-21 00:45:03.476630,18,33.4515,31.6496,-2.1520891189575195,-14.775386810302734,38.54342269897461,8.694225487911039,57.89446608440145,87.96612243381011,"[15.0, 21.0, 33.6]","[142.0, 2.0, 2.2]"
2020-04-21 00:45:16.305959,19,33.6036,31.5926,-2.14180588722229,-14.872365951538086,38.03670120239258,351.0290382988085,181.88723090023154,117.88394243254257,"[14.0, 42.0, 55.5]","[141.0, 31.0, 46.0]"
2020-04-21 00:45:29.105620,20,33.5257,31.6685,-2.3288800716400146,-14.901083946228027,37.678890228271484,337.86181839987813,315.62822247214575,84.65882872447405,"[14.0, 4.0, 12.6]","[141.0, 1.0, 41.7]"
2020-04-21 00:45:41.914410,21,32.8727,31.7065,-2.662583351135254,-14.853166580200195,37.4268913269043,11.092271608330313,78.85029242032263,95.05687649046968,"[13.0, 28.0, 24.4]","[140.0, 34.0, 6.3]"
2020-04-21 00:45:54.722445,22,32.5574,31.7065,-2.7845571041107178,-14.886136054992676,37.00545120239258,343.8624213310376,202.32886693505583,116.72002355645904,"[12.0, 49.0, 33.0]","[140.0, 4.0, 23.2]"
2020-04-21 00:46:07.600727,23,33.4181,31.6496,-2.9438233375549316,-14.879964828491211,37.04302215576172,343.53815639264394,337.3163168040786,80.61787024544107,"[12.0, 10.0, 37.6]","[139.0, 34.0, 50.4]"
2020-04-21 00:46:20.447763,24,33.3105,31.6306,-3.2669079303741455,-14.933674812316895,36.70853042602539,11.598801852273043,100.22450199385294,102.54199883961661,"[11.0, 31.0, 38.4]","[139.0, 5.0, 27.2]"
2020-04-21 00:46:33.313139,25,33.9152,31.7065,-3.4752321243286133,-15.264050483703613,36.36506271362305,337.8475245214926,223.50675638127245,113.0288390648224,"[10.0, 52.0, 35.6]","[138.0, 36.0, 13.1]"
2020-04-21 00:46:46.201474,26,33.6407,31.7254,-3.7777585983276367,-15.50972843170166,35.985225677490234,350.4649637111084,357.22499381829704,79.09583089079543,"[10.0, 13.0, 29.4]","[138.0, 7.0, 7.6]"
2020-04-21 00:46:59.021534,27,33.0434,31.5737,-4.00010347366333,-15.513855934143066,35.21064376831055,9.229550955620898,121.17311565001059,108.73083324656517,"[9.0, 34.0, 20.1]","[137.0, 38.0, 10.2]"
2020-04-21 00:47:11.866516,28,33.6184,31.6685,-4.049933433532715,-15.465088844299316,34.78566360473633,334.6924979268709,246.09247758902296,106.44997353550944,"[8.0, 58.0, 9.0]","[137.0, 11.0, 32.9]"
2020-04-21 00:47:24.876876,29,33.611,31.6496,-3.851231336593628,-15.485268592834473,34.0165901184082,358.51742227672753,17.511336324274364,79.89941630702576,"[8.0, 18.0, 54.3]","[136.0, 42.0, 49.3]"
2020-04-21 00:47:37.688121,30,33.3736,31.6306,-3.7717199325561523,-15.595909118652344,33.27876281738281,4.777736961217783,142.10095187071306,115.3167202103449,"[7.0, 39.0, 37.0]","[136.0, 14.0, 12.1]"
2020-04-21 00:47:50.606281,31,33.5183,31.6496,-3.7055094242095947,-15.549623489379883,32.774749755859375,332.9957850219387,269.099491694969,100.09145673901027,"[7.0, 0.0, 17.5]","[135.0, 45.0, 40.9]"
2020-04-21 00:48:03.400513,32,33.7223,31.6875,-3.8676350116729736,-15.52165699005127,32.489585876464844,4.577784880812953,36.25263945390628,84.23431197699024,"[6.0, 20.0, 56.0]","[135.0, 17.0, 15.1]"
2020-04-21 00:48:16.206055,33,33.6147,31.6875,-3.9531431198120117,-15.628653526306152,32.15398406982422,358.592021389399,161.29912464637985,118.516226704389,"[5.0, 41.0, 32.5]","[134.0, 48.0, 54.1]"
2020-04-21 00:48:29.000665,34,33.6963,31.6875,-4.013422966003418,-15.782282829284668,31.802045822143555,334.5983437691623,291.30472355462564,93.45181618646254,"[5.0, 5.0, 9.4]","[134.0, 22.0, 47.9]"
2020-04-21 00:48:41.831051,35,33.3587,31.5737,-4.160918712615967,-15.827569961547852,31.34162712097168,9.136259963068632,56.02478717647509,90.04541643226958,"[4.0, 25.0, 42.9]","[133.0, 54.0, 35.0]"
2020-04-21 00:48:54.626213,36,33.6555,31.7254,-4.219186782836914,-15.962289810180664,30.81087875366211,352.1115549803638,180.30511320164646,120.9702863524179,"[3.0, 46.0, 15.1]","[133.0, 26.0, 25.4]"
2020-04-21 00:49:07.413663,37,33.6444,31.6685,-4.177164077758789,-16.09374237060547,30.51085662841797,337.6283761944254,313.5433277185669,86.64911852785909,"[3.0, 6.0, 46.3]","[132.0, 58.0, 18.7]"
2020-04-21 00:49:20.279970,38,33.7001,31.6116,-4.124946117401123,-16.046253204345703,29.92018699645996,11.908330657532389,76.99097832446176,95.57084822551313,"[2.0, 27.0, 16.6]","[132.0, 30.0, 14.5]"
2020-04-21 00:49:33.098429,39,33.4997,31.6496,-4.125960350036621,-16.015453338623047,29.572219848632812,345.5819556055342,200.33876837696755,118.7612802314307,"[1.0, 47.0, 46.2]","[132.0, 2.0, 12.1]"
2020-04-21 00:49:45.892406,40,33.7483,31.8393,-4.267749309539795,-16.081756591796875,29.037153244018555,343.8098032612191,334.0247274071917,82.74272160566451,"[1.0, 11.0, 17.8]","[131.0, 36.0, 20.4]"
2020-04-21 00:49:58.732940,41,33.7891,31.6875,-4.224191665649414,-16.132762908935547,28.288116455078125,13.097568191095512,96.94554673938326,103.29993810162375,"[0.0, 31.0, 46.7]","[131.0, 8.0, 20.3]"
2020-04-21 00:50:11.586911,42,33.292,31.5926,-4.136470794677734,-16.228294372558594,27.455978393554688,339.9291117559659,220.4427881611181,115.70758461578805,"[-0.0, 7.0, 44.6]","[130.0, 40.0, 20.6]"
2020-04-21 00:50:24.623244,43,33.7186,31.6685,-4.09412145614624,-16.134912490844727,26.95252799987793,350.88466005258545,354.21539753247396,80.94214713666575,"[-0.0, 47.0, 15.7]","[130.0, 12.0, 20.9]"
2020-04-21 00:50:37.491311,44,33.7297,31.6685,-4.242802143096924,-16.07537269592285,26.798053741455078,11.288490990353731,118.9404907348735,110.10588693027213,"[1.0, 26.0, 46.5]","[129.0, 44.0, 20.6]"
2020-04-21 00:50:50.325190,45,33.496,31.7444,-4.40091609954834,-15.945030212402344,26.328920364379883,336.42292464554635,243.32241923904343,109.82946917456171,"[2.0, 6.0, 16.8]","[129.0, 16.0, 19.3]"
2020-04-21 00:51:03.164005,46,33.407,31.6306,-4.388230323791504,-15.626310348510742,25.944087982177734,359.12273936090514,13.82319126681839,81.96173728539775,"[2.0, 45.0, 46.5]","[128.0, 48.0, 16.5]"
2020-04-21 00:51:16.036757,47,33.6221,31.7254,-4.258999347686768,-15.451057434082031,25.31009292602539,6.940046359510059,139.99096983231271,115.95532923736275,"[3.0, 25.0, 15.2]","[128.0, 20.0, 11.6]"
2020-04-21 00:51:28.848226,48,33.6518,31.8203,-4.129683494567871,-15.56701946258545,24.470468521118164,335.1374471852568,266.23120156434635,102.12375220579088,"[4.0, 1.0, 40.8]","[127.0, 54.0, 14.1]"
2020-04-21 00:51:41.669898,49,33.726,31.5926,-4.020519733428955,-15.63866138458252,24.068866729736328,4.611888015338826,33.92898860770043,85.09290773679587,"[4.0, 41.0, 7.3]","[127.0, 26.0, 3.9]"
2020-04-21 00:51:54.498727,50,33.5702,31.6116,-4.106128215789795,-15.648322105407715,23.773893356323242,0.6124047394628338,159.91318364113587,119.61561395319424,"[5.0, 20.0, 32.3]","[126.0, 57.0, 50.2]"
2020-04-21 00:52:07.337961,51,33.5331,31.6875,-4.052670001983643,-15.649090766906738,23.513334274291992,335.4489738208484,289.7867754832928,94.63713404521572,"[5.0, 59.0, 55.6]","[126.0, 29.0, 32.5]"
2020-04-21 00:52:20.151919,52,33.6518,31.6496,-4.043772220611572,-15.752228736877441,23.128585815429688,9.61080528490184,54.4791597635308,90.05157043271176,"[6.0, 39.0, 17.1]","[126.0, 1.0, 10.3]"
2020-04-21 00:52:32.959601,53,34.1007,31.7824,-4.072003364562988,-15.566871643066406,22.671798706054688,353.8888034995733,179.45080315817395,121.02211382783995,"[7.0, 15.0, 35.0]","[125.0, 34.0, 54.5]"
